shipment_id,origin_port,destination_port,carrier,ship_date,base_transit_days,actual_transit_days,port_congestion_score,weather_condition,customs_complexity,cargo_weight_tons,num_stops,is_peak_season,carrier_on_time_rate,days_since_maintenance,fuel_cost_index,is_delayed
SHP00014,Rotterdam,New York,HapagLloyd,2022-09-08,10,10,0.1239,Cloudy,3,67.9,1,0,0.7583,123,1.0049,0
SHP00015,Singapore,Hamburg,EverGreen,2023-10-18,18,19,0.1488,Storm,2,9.77,2,1,0.6319,167,0.932,1
SHP00016,Dubai,Mumbai,COSCO,2022-02-02,5,5,0.1744,Clear,1,57.05,1,1,0.5858,59,0.8565,0
SHP00017,Hong Kong,London,EverGreen,2023-08-04,20,21,0.2306,Rainy,1,45.43,2,1,0.6542,53,1.1679,1
SHP00018,Hong Kong,London,MSC,2023-10-21,20,21,0.3869,Storm,2,57.36,0,0,0.7598,160,0.7108,1
SHP00019,Antwerp,Chicago,MSC,2023-07-29,13,20,0.5559,Rainy,2,195.07,0,1,0.7244,157,1.2838,1
SHP00020,Busan,Seattle,HapagLloyd,2023-02-13,12,28,0.3885,Storm,1,37.55,0,0,0.7443,34,1.1611,1
SHP00021,Hong Kong,London,MSC,2022-04-04,20,20,0.0592,Cloudy,3,36.82,1,0,0.6617,115,0.8767,0
SHP00022,Shanghai,Los Angeles,MaerskLine,2023-11-28,14,14,0.1456,Cloudy,3,37.72,0,0,0.8729,31,1.1027,0
SHP00023,Guangzhou,Sydney,HapagLloyd,2023-09-03,15,15,0.2209,Clear,1,31.49,0,0,0.8234,25,1.1861,0
SHP00024,Antwerp,Chicago,HapagLloyd,2022-01-12,13,16,0.1994,Rainy,2,52.14,2,0,0.7895,142,0.9253,1
SHP00025,Rotterdam,New York,HapagLloyd,2022-12-15,10,10,0.3096,Rainy,2,12.53,0,0,0.8027,7,1.162,0
SHP00026,Rotterdam,New York,COSCO,2022-01-04,10,12,0.1474,Storm,2,78.53,3,1,0.5949,123,1.1288,1
SHP00027,Busan,Seattle,HapagLloyd,2022-04-19,12,12,0.5528,Cloudy,1,119.26,0,0,0.7497,121,0.7939,0
SHP00028,Busan,Seattle,HapagLloyd,2023-01-18,12,13,0.4788,Hurricane,3,29.29,1,1,0.8195,75,1.0396,1
SHP00029,Singapore,Hamburg,HapagLloyd,2023-09-06,18,22,0.1848,Hurricane,3,40.41,0,0,0.788,100,0.9391,1
SHP00030,Hong Kong,London,EverGreen,2023-01-07,20,20,0.2876,Clear,3,7.53,0,1,0.6539,1,0.7159,0
SHP00031,Busan,Seattle,MSC,2023-08-04,12,12,0.2253,Clear,1,39.92,0,1,0.7221,160,1.0909,0
SHP00032,Rotterdam,New York,MaerskLine,2023-06-30,10,13,0.188,Storm,2,68.73,0,0,0.7813,89,0.9044,1
SHP00033,Singapore,Hamburg,MSC,2022-06-19,18,18,0.0738,Storm,1,21.13,0,0,0.7348,151,1.1841,0
SHP00034,Busan,Seattle,HapagLloyd,2022-08-05,12,15,0.0944,Hurricane,3,16.16,1,0,0.803,98,0.7619,1
SHP00035,Dubai,Mumbai,COSCO,2023-10-28,5,6,0.133,Storm,1,27.78,3,0,0.5661,82,0.9958,1
SHP00036,Hong Kong,London,EverGreen,2022-09-11,20,21,0.2455,Hurricane,2,123.18,3,0,0.6521,8,1.1569,1
SHP00037,Dubai,Mumbai,MaerskLine,2023-07-22,5,6,0.3541,Rainy,2,63.71,2,1,0.8057,44,1.152,1
SHP00038,Dubai,Mumbai,HapagLloyd,2023-12-26,5,5,0.1957,Cloudy,1,14.85,0,1,0.7699,57,1.1446,0
SHP00039,Shanghai,Los Angeles,MSC,2022-12-05,14,25,0.279,Clear,1,8.61,1,0,0.7186,116,1.2779,1
SHP00040,Rotterdam,New York,HapagLloyd,2023-05-13,10,10,0.2959,Cloudy,3,195.54,1,1,0.7822,158,1.2975,0
SHP00041,Dubai,Mumbai,HapagLloyd,2023-08-08,5,5,0.5648,Cloudy,1,8.37,0,0,0.763,121,0.8129,0
SHP00042,Antwerp,Chicago,MSC,2022-07-14,13,14,0.6745,Storm,2,28.86,0,0,0.6804,55,1.226,1
SHP00043,Rotterdam,New York,MaerskLine,2023-02-25,10,12,0.5455,Storm,1,92.49,1,0,0.8546,176,1.203,1
SHP00044,Antwerp,Chicago,MaerskLine,2022-12-14,13,13,0.2079,Clear,3,21.05,2,1,0.8106,109,0.8509,0
SHP00045,Rotterdam,New York,MSC,2023-04-05,10,10,0.0585,Cloudy,1,32.93,0,1,0.6157,2,1.0121,0
SHP00046,Singapore,Hamburg,EverGreen,2022-09-13,18,18,0.1563,Cloudy,1,23.71,0,1,0.6594,65,1.183,0
SHP00047,Rotterdam,New York,EverGreen,2023-10-30,10,16,0.4634,Hurricane,2,25.54,0,1,0.6508,78,0.9379,1
SHP00048,Shanghai,Los Angeles,MaerskLine,2023-05-13,14,17,0.7285,Cloudy,3,19.0,0,1,0.8537,114,1.0224,1
SHP00049,Antwerp,Chicago,MSC,2022-06-18,13,14,0.1221,Storm,1,35.2,2,0,0.734,60,0.8154,1
SHP00050,Guangzhou,Sydney,MaerskLine,2023-04-11,15,22,0.2753,Storm,1,7.13,1,1,0.8169,46,1.0767,1
SHP00051,Busan,Seattle,EverGreen,2023-05-14,12,14,0.28,Hurricane,2,16.1,0,0,0.6236,13,1.071,1
SHP00052,Singapore,Hamburg,MSC,2022-03-01,18,18,0.081,Rainy,2,27.42,0,1,0.7657,14,0.7629,0
SHP00053,Shanghai,Los Angeles,COSCO,2023-05-04,14,14,0.0104,Clear,2,25.11,0,1,0.5595,137,1.1735,0
SHP00054,Singapore,Hamburg,MaerskLine,2022-07-10,18,21,0.013,Hurricane,1,55.4,0,1,0.7937,25,1.0645,1
SHP00055,Rotterdam,New York,HapagLloyd,2022-08-29,10,10,0.1136,Clear,3,5.7,0,0,0.7939,78,1.1902,0
SHP00056,Guangzhou,Sydney,MaerskLine,2023-09-01,15,19,0.2397,Hurricane,2,24.72,0,1,0.8001,117,1.1266,1
SHP00057,Shanghai,Los Angeles,HapagLloyd,2023-08-21,14,15,0.2606,Clear,2,43.13,2,0,0.7965,133,0.902,1
SHP00058,Hong Kong,London,COSCO,2022-11-18,20,20,0.4858,Cloudy,2,9.74,0,0,0.643,93,0.764,0
SHP00059,Dubai,Mumbai,COSCO,2023-10-23,5,10,0.1067,Storm,1,39.18,1,1,0.5643,59,1.2051,1
SHP00060,Busan,Seattle,EverGreen,2022-03-16,12,16,0.2269,Rainy,2,2.21,2,0,0.6508,88,1.1098,1
SHP00061,Shanghai,Los Angeles,EverGreen,2022-04-13,14,15,0.2327,Hurricane,2,5.99,1,0,0.5916,52,1.2439,1
SHP00062,Rotterdam,New York,HapagLloyd,2022-05-16,10,10,0.2393,Cloudy,2,37.82,2,0,0.8381,163,1.2986,0
SHP00063,Hong Kong,London,MaerskLine,2022-06-11,20,20,0.3373,Cloudy,2,103.76,0,0,0.8188,140,0.7664,0
SHP00064,Antwerp,Chicago,HapagLloyd,2023-11-01,13,13,0.3197,Rainy,1,52.66,1,0,0.7992,163,1.0256,0
SHP00065,Shanghai,Los Angeles,HapagLloyd,2022-04-17,14,14,0.1493,Rainy,1,38.64,0,0,0.7683,140,0.7835,0
SHP00066,Singapore,Hamburg,COSCO,2023-07-21,18,18,0.5113,Clear,3,67.02,0,0,0.5902,136,0.9545,0
SHP00067,Singapore,Hamburg,COSCO,2022-12-18,18,18,0.1352,Rainy,1,254.34,0,0,0.5857,52,0.9011,0
SHP00068,Dubai,Mumbai,COSCO,2022-02-22,5,8,0.7103,Hurricane,1,14.36,0,0,0.6201,107,1.2476,1
SHP00069,Rotterdam,New York,EverGreen,2022-12-08,10,28,0.5063,Rainy,1,31.36,0,1,0.6404,147,0.9488,1
SHP00070,Singapore,Hamburg,COSCO,2023-07-19,18,18,0.6158,Cloudy,1,17.91,0,0,0.5747,172,0.9266,0
SHP00071,Guangzhou,Sydney,HapagLloyd,2023-12-09,15,15,0.0472,Clear,2,11.43,1,1,0.663,131,0.8092,0
SHP00072,Singapore,Hamburg,HapagLloyd,2023-08-20,18,18,0.2005,Clear,1,51.2,0,0,0.8081,66,0.8386,0
SHP00073,Singapore,Hamburg,EverGreen,2023-01-09,18,18,0.1565,Cloudy,1,45.33,2,1,0.6118,143,0.9383,0
SHP00074,Shanghai,Los Angeles,COSCO,2023-11-14,14,14,0.2462,Cloudy,1,27.83,0,0,0.5325,1,1.2464,0
SHP00075,Rotterdam,New York,COSCO,2023-02-21,10,15,0.4768,Hurricane,2,65.71,0,0,0.5499,52,0.8767,1
SHP00076,Singapore,Hamburg,MSC,2022-07-01,18,18,0.4149,Cloudy,1,27.32,1,0,0.6687,102,0.8308,0
SHP00077,Guangzhou,Sydney,MaerskLine,2022-12-07,15,15,0.1338,Cloudy,2,22.66,2,0,0.8594,40,0.8644,0
SHP00078,Guangzhou,Sydney,MSC,2023-12-20,15,17,0.3696,Rainy,1,101.55,1,1,0.7671,137,1.2486,1
SHP00079,Rotterdam,New York,EverGreen,2022-08-16,10,10,0.1723,Clear,1,4.79,0,0,0.6574,39,0.9623,0
SHP00080,Dubai,Mumbai,EverGreen,2022-08-22,5,5,0.2451,Rainy,3,19.11,0,0,0.6064,147,0.7972,0
SHP00081,Dubai,Mumbai,MaerskLine,2022-10-13,5,5,0.4445,Cloudy,1,105.11,1,0,0.7989,24,0.8478,0
SHP00082,Rotterdam,New York,COSCO,2023-02-14,10,10,0.2699,Rainy,1,5.37,1,0,0.5632,82,1.1393,0
SHP00083,Hong Kong,London,MaerskLine,2022-09-25,20,24,0.3487,Clear,1,30.86,0,0,0.8262,85,1.2493,1
SHP00084,Singapore,Hamburg,HapagLloyd,2023-09-03,18,19,0.3539,Rainy,1,20.66,0,1,0.7709,102,0.7222,1
SHP00085,Guangzhou,Sydney,COSCO,2023-06-08,15,15,0.0751,Rainy,1,85.37,0,0,0.5759,160,1.2316,0
SHP00086,Rotterdam,New York,EverGreen,2022-02-15,10,10,0.1942,Hurricane,3,68.25,0,1,0.6195,15,1.2242,0
SHP00087,Guangzhou,Sydney,MaerskLine,2023-07-06,15,16,0.1189,Hurricane,1,14.87,0,0,0.7959,67,1.1293,1
SHP00088,Dubai,Mumbai,COSCO,2023-11-12,5,8,0.313,Storm,2,35.27,3,1,0.524,62,1.2668,1
SHP00089,Hong Kong,London,HapagLloyd,2022-05-08,20,20,0.2872,Rainy,1,10.77,1,0,0.7533,5,1.1805,0
SHP00090,Busan,Seattle,HapagLloyd,2022-12-01,12,13,0.4586,Rainy,1,3.22,3,0,0.865,2,1.1895,1
SHP00091,Guangzhou,Sydney,COSCO,2023-03-07,15,17,0.4978,Hurricane,3,10.88,2,1,0.5584,152,1.2113,1
SHP00092,Guangzhou,Sydney,MSC,2023-02-20,15,16,0.2614,Hurricane,1,15.87,1,0,0.7231,36,0.8321,1
SHP00093,Shanghai,Los Angeles,COSCO,2023-08-17,14,14,0.1755,Rainy,2,75.48,1,1,0.536,32,1.2272,0
SHP00094,Hong Kong,London,EverGreen,2022-08-07,20,30,0.361,Storm,2,58.36,1,0,0.6751,165,0.8135,1
SHP00095,Antwerp,Chicago,MSC,2023-11-11,13,13,0.4325,Clear,1,96.28,0,1,0.7303,12,1.0702,0
SHP00096,Hong Kong,London,MaerskLine,2022-08-19,20,20,0.0657,Cloudy,2,26.22,1,0,0.808,62,0.9353,0
SHP00097,Dubai,Mumbai,MSC,2023-05-02,5,5,0.3136,Clear,3,32.8,1,1,0.7019,117,0.9075,0
SHP00098,Rotterdam,New York,EverGreen,2023-08-13,10,12,0.1588,Storm,1,17.62,1,0,0.5789,57,0.7006,1
SHP00099,Dubai,Mumbai,EverGreen,2022-06-01,5,9,0.1888,Storm,2,9.74,0,0,0.6619,80,1.2779,1
SHP00100,Shanghai,Los Angeles,MaerskLine,2023-12-14,14,25,0.0631,Storm,2,28.61,1,1,0.8114,17,1.2186,1
SHP00101,Antwerp,Chicago,MaerskLine,2022-05-05,13,18,0.3276,Hurricane,2,38.2,0,1,0.8599,23,1.2525,1
SHP00102,Antwerp,Chicago,MSC,2023-07-27,13,13,0.1262,Storm,1,19.29,0,0,0.6771,116,1.0542,0
SHP00103,Hong Kong,London,EverGreen,2023-06-01,20,21,0.5949,Hurricane,2,67.7,3,0,0.6623,168,0.7238,1
SHP00104,Guangzhou,Sydney,HapagLloyd,2023-05-02,15,17,0.3913,Storm,2,8.36,0,0,0.7711,160,1.1947,1
SHP00105,Antwerp,Chicago,COSCO,2022-10-11,13,13,0.3461,Cloudy,3,110.13,1,0,0.6115,40,1.1254,0
SHP00106,Antwerp,Chicago,MSC,2024-01-01,13,14,0.3349,Rainy,1,22.52,2,0,0.7485,153,0.9885,1
SHP00107,Busan,Seattle,MSC,2023-07-08,12,12,0.5684,Rainy,1,4.23,0,0,0.7516,172,0.8093,0
SHP00108,Rotterdam,New York,MSC,2023-12-12,10,10,0.1295,Cloudy,1,6.5,1,1,0.7369,92,0.951,0
SHP00109,Singapore,Hamburg,MSC,2022-12-05,18,18,0.1883,Clear,2,80.19,1,0,0.7427,151,1.026,0
SHP00110,Antwerp,Chicago,EverGreen,2023-03-07,13,13,0.1978,Clear,2,36.59,3,1,0.674,124,0.8264,0
SHP00111,Guangzhou,Sydney,HapagLloyd,2023-08-13,15,17,0.3877,Clear,3,11.58,3,0,0.7499,118,0.9478,1
SHP00112,Guangzhou,Sydney,EverGreen,2022-11-02,15,15,0.3169,Clear,2,26.26,0,0,0.6186,27,0.8549,0
SHP00113,Guangzhou,Sydney,EverGreen,2023-07-14,15,18,0.518,Hurricane,1,21.69,0,0,0.6015,93,0.7875,1
SHP00114,Dubai,Mumbai,EverGreen,2023-05-13,5,5,0.1892,Cloudy,2,40.74,0,1,0.6691,110,1.221,0
SHP00115,Shanghai,Los Angeles,EverGreen,2023-02-19,14,27,0.2635,Rainy,3,41.79,0,0,0.6376,178,0.7249,1
SHP00116,Singapore,Hamburg,EverGreen,2023-07-01,18,27,0.2449,Cloudy,2,162.13,0,0,0.6358,127,0.7796,1
SHP00117,Shanghai,Los Angeles,EverGreen,2022-01-28,14,17,0.1319,Hurricane,1,44.93,3,0,0.6034,170,1.1099,1
SHP00118,Rotterdam,New York,EverGreen,2022-07-06,10,10,0.2094,Cloudy,2,6.84,1,0,0.6601,52,1.1002,0
SHP00119,Shanghai,Los Angeles,COSCO,2023-04-11,14,18,0.1539,Storm,3,15.46,0,0,0.5548,97,0.9425,1
SHP00120,Hong Kong,London,COSCO,2023-03-08,20,23,0.2875,Storm,2,22.66,0,1,0.5391,142,1.0781,1
SHP00121,Busan,Seattle,MaerskLine,2023-07-07,12,15,0.689,Storm,1,20.94,0,1,0.813,73,1.1556,1
SHP00122,Shanghai,Los Angeles,COSCO,2023-10-30,14,18,0.0602,Cloudy,2,47.22,1,0,0.5994,20,0.8175,1
SHP00123,Shanghai,Los Angeles,MaerskLine,2022-01-21,14,14,0.1965,Cloudy,3,9.45,0,1,0.8116,116,0.8709,0
SHP00124,Singapore,Hamburg,MSC,2022-04-28,18,18,0.1859,Cloudy,2,10.99,0,0,0.6724,6,1.1087,0
SHP00125,Dubai,Mumbai,EverGreen,2022-06-21,5,6,0.5097,Rainy,1,19.69,2,0,0.6566,128,0.9241,1
SHP00126,Rotterdam,New York,MSC,2022-01-27,10,10,0.5746,Rainy,1,42.09,1,1,0.7124,48,0.8421,0
SHP00127,Busan,Seattle,HapagLloyd,2022-07-23,12,14,0.4519,Storm,1,8.71,1,0,0.8344,174,0.8411,1
SHP00128,Rotterdam,New York,HapagLloyd,2022-11-05,10,10,0.0882,Cloudy,1,5.33,1,1,0.7926,152,1.2927,0
SHP00129,Rotterdam,New York,HapagLloyd,2023-03-15,10,10,0.0829,Clear,2,27.19,1,0,0.754,166,1.1636,0
SHP00130,Hong Kong,London,MaerskLine,2022-01-13,20,21,0.2757,Hurricane,1,7.23,2,0,0.8824,4,0.742,1
SHP00131,Guangzhou,Sydney,EverGreen,2023-01-06,15,15,0.4203,Clear,1,17.4,0,0,0.6241,34,1.1384,0
SHP00132,Antwerp,Chicago,MSC,2023-06-19,13,15,0.3491,Storm,2,23.79,0,1,0.6776,120,1.1931,1
SHP00133,Busan,Seattle,HapagLloyd,2023-04-22,12,17,0.2283,Hurricane,3,9.46,1,0,0.7937,83,1.0742,1
SHP00134,Guangzhou,Sydney,HapagLloyd,2022-09-09,15,15,0.2981,Rainy,1,6.89,0,0,0.7433,84,0.9078,0
SHP00135,Rotterdam,New York,COSCO,2023-04-21,10,19,0.4567,Storm,3,31.47,1,1,0.5541,59,1.2109,1
SHP00136,Guangzhou,Sydney,COSCO,2022-11-29,15,16,0.2848,Clear,3,35.46,0,0,0.588,72,0.8935,1
SHP00137,Singapore,Hamburg,EverGreen,2022-09-22,18,18,0.3593,Cloudy,1,7.22,2,0,0.6491,124,0.8905,0
SHP00138,Hong Kong,London,COSCO,2022-10-10,20,23,0.252,Hurricane,2,18.03,1,0,0.5679,127,0.9595,1
SHP00139,Shanghai,Los Angeles,HapagLloyd,2023-02-21,14,30,0.1424,Cloudy,2,7.64,0,1,0.7825,161,0.9759,1
SHP00140,Antwerp,Chicago,HapagLloyd,2023-10-24,13,13,0.3194,Cloudy,1,13.91,0,0,0.7488,79,1.115,0
SHP00141,Antwerp,Chicago,EverGreen,2022-08-15,13,13,0.0756,Clear,1,51.96,1,1,0.6528,115,0.9429,0
SHP00142,Guangzhou,Sydney,MSC,2023-01-13,15,18,0.6171,Rainy,1,15.92,1,0,0.6886,148,1.1562,1
SHP00143,Antwerp,Chicago,HapagLloyd,2023-07-18,13,18,0.1295,Hurricane,2,19.54,0,0,0.742,51,0.8461,1
SHP00144,Hong Kong,London,COSCO,2022-09-15,20,26,0.3827,Storm,1,26.88,2,1,0.5481,129,0.9626,1
SHP00145,Dubai,Mumbai,MaerskLine,2023-07-03,5,5,0.6441,Cloudy,2,10.59,1,0,0.8251,68,1.1425,0
SHP00146,Singapore,Hamburg,MSC,2022-10-11,18,18,0.222,Cloudy,1,5.22,0,0,0.6909,142,1.2654,0
SHP00147,Busan,Seattle,MaerskLine,2023-01-05,12,12,0.2603,Cloudy,1,9.04,1,1,0.8157,80,0.8773,0
SHP00148,Singapore,Hamburg,COSCO,2022-05-10,18,18,0.0462,Clear,2,38.16,1,0,0.6067,113,0.8933,0
SHP00149,Busan,Seattle,MaerskLine,2023-12-16,12,12,0.1295,Clear,2,6.86,0,0,0.8309,16,1.2569,0
SHP00150,Singapore,Hamburg,EverGreen,2023-08-11,18,18,0.2915,Clear,3,12.38,0,0,0.6301,173,0.7076,0
SHP00151,Busan,Seattle,EverGreen,2022-07-08,12,16,0.0666,Storm,2,5.8,3,0,0.6582,45,1.1371,1
SHP00152,Shanghai,Los Angeles,COSCO,2022-03-08,14,15,0.4445,Storm,1,18.28,1,1,0.5674,26,1.2791,1
SHP00153,Guangzhou,Sydney,EverGreen,2023-12-04,15,15,0.281,Clear,2,23.63,2,0,0.6143,110,0.7965,0
SHP00154,Shanghai,Los Angeles,MSC,2022-11-08,14,14,0.2816,Cloudy,1,28.19,0,0,0.7445,148,1.1398,0
SHP00155,Rotterdam,New York,MSC,2023-03-03,10,10,0.2904,Clear,1,9.16,3,0,0.7394,120,1.107,0
SHP00156,Dubai,Mumbai,HapagLloyd,2023-03-30,5,5,0.1637,Storm,1,67.41,0,0,0.7886,153,0.9349,0
SHP00157,Busan,Seattle,HapagLloyd,2023-09-28,12,12,0.0445,Storm,2,183.87,0,0,0.7611,79,0.8353,0
SHP00158,Shanghai,Los Angeles,HapagLloyd,2022-08-01,14,14,0.3275,Clear,1,59.76,0,0,0.7274,151,0.9005,0
SHP00159,Dubai,Mumbai,COSCO,2022-06-27,5,5,0.3378,Clear,1,9.81,0,1,0.514,115,0.7375,0
SHP00160,Rotterdam,New York,MSC,2023-12-07,10,10,0.296,Clear,2,5.32,1,0,0.7195,46,1.2039,0
SHP00161,Antwerp,Chicago,COSCO,2023-12-25,13,19,0.382,Clear,1,11.85,1,1,0.5931,108,1.1695,1
SHP00162,Busan,Seattle,EverGreen,2022-09-28,12,12,0.3,Clear,1,23.49,1,0,0.65,125,1.1368,0
SHP00163,Dubai,Mumbai,EverGreen,2023-10-26,5,5,0.5648,Clear,2,29.82,1,0,0.6228,35,0.708,0
SHP00164,Singapore,Hamburg,COSCO,2022-06-19,18,19,0.1977,Cloudy,1,64.09,0,1,0.5628,72,0.9925,1
SHP00165,Busan,Seattle,HapagLloyd,2023-03-26,12,13,0.0126,Hurricane,1,25.72,1,0,0.7726,148,0.7314,1
SHP00166,Rotterdam,New York,EverGreen,2022-10-06,10,10,0.5437,Rainy,1,21.76,0,0,0.6504,168,0.7132,0
SHP00167,Antwerp,Chicago,EverGreen,2023-03-19,13,13,0.1585,Clear,3,12.28,1,0,0.5981,166,1.1247,0
SHP00168,Hong Kong,London,HapagLloyd,2022-08-23,20,22,0.3354,Rainy,3,31.08,0,1,0.7971,111,0.9761,1
SHP00169,Shanghai,Los Angeles,COSCO,2022-06-29,14,17,0.2018,Hurricane,2,2.38,2,1,0.5689,153,0.8981,1
SHP00170,Antwerp,Chicago,HapagLloyd,2022-07-05,13,21,0.3385,Storm,1,27.59,1,0,0.769,65,0.7391,1
SHP00171,Guangzhou,Sydney,EverGreen,2023-02-23,15,15,0.0851,Clear,2,74.4,3,0,0.623,11,1.014,0
SHP00172,Hong Kong,London,COSCO,2022-12-04,20,20,0.2082,Clear,1,21.5,0,0,0.5956,11,0.7996,0
SHP00173,Guangzhou,Sydney,EverGreen,2023-02-15,15,18,0.4146,Rainy,2,18.28,1,0,0.6303,175,0.7913,1
SHP00174,Shanghai,Los Angeles,EverGreen,2022-11-28,14,14,0.1677,Clear,3,63.35,0,0,0.683,101,1.2879,0
SHP00175,Rotterdam,New York,EverGreen,2022-01-02,10,14,0.4107,Hurricane,2,11.89,3,0,0.6023,8,1.1914,1
SHP00176,Antwerp,Chicago,EverGreen,2023-01-06,13,17,0.4509,Clear,1,73.48,0,1,0.6393,20,0.7678,1
SHP00177,Antwerp,Chicago,EverGreen,2023-07-17,13,13,0.4132,Clear,2,140.31,1,1,0.5913,107,0.9828,0
SHP00178,Singapore,Hamburg,COSCO,2023-05-12,18,25,0.122,Storm,2,13.44,2,0,0.5857,86,0.7462,1
SHP00179,Rotterdam,New York,MaerskLine,2023-12-28,10,11,0.2873,Hurricane,1,28.29,0,0,0.8266,136,1.1731,1
SHP00180,Singapore,Hamburg,COSCO,2023-02-22,18,20,0.2474,Hurricane,1,60.77,1,1,0.5664,34,0.9477,1
SHP00181,Rotterdam,New York,MSC,2022-05-01,10,10,0.284,Clear,1,34.5,2,0,0.7465,172,1.2777,0
SHP00182,Singapore,Hamburg,EverGreen,2022-10-07,18,18,0.4612,Rainy,1,29.0,0,0,0.6951,29,0.7277,0
SHP00183,Guangzhou,Sydney,EverGreen,2023-07-19,15,22,0.4552,Storm,2,10.43,2,1,0.6445,1,1.1007,1
SHP00184,Singapore,Hamburg,EverGreen,2023-06-05,18,18,0.4521,Cloudy,3,21.54,0,0,0.6749,19,0.8321,0
SHP00185,Singapore,Hamburg,MaerskLine,2023-03-01,18,18,0.1688,Rainy,1,11.97,2,0,0.8272,173,1.1643,0
SHP00186,Hong Kong,London,HapagLloyd,2022-10-17,20,20,0.1752,Rainy,2,7.28,1,0,0.7935,27,0.8405,0
SHP00187,Busan,Seattle,HapagLloyd,2023-05-17,12,14,0.4377,Hurricane,1,22.34,2,0,0.7559,123,0.9818,1
SHP00188,Singapore,Hamburg,EverGreen,2022-12-07,18,20,0.0828,Hurricane,2,64.01,0,0,0.6436,135,0.722,1
SHP00189,Guangzhou,Sydney,EverGreen,2023-12-16,15,15,0.2049,Rainy,3,9.22,1,0,0.6342,87,1.019,0
SHP00190,Dubai,Mumbai,HapagLloyd,2023-02-25,5,11,0.1947,Storm,1,88.28,2,1,0.7487,108,1.0647,1
SHP00191,Shanghai,Los Angeles,COSCO,2023-01-26,14,16,0.3497,Storm,1,2.34,0,0,0.5484,155,1.0298,1
SHP00192,Guangzhou,Sydney,MSC,2022-05-10,15,22,0.5357,Storm,2,25.34,1,0,0.7474,50,1.248,1
SHP00193,Hong Kong,London,MaerskLine,2023-04-13,20,20,0.1533,Storm,2,3.68,0,1,0.8006,44,0.9396,0
SHP00194,Shanghai,Los Angeles,MSC,2022-06-08,14,19,0.1442,Storm,1,57.28,0,0,0.7099,172,0.8652,1
SHP00195,Rotterdam,New York,EverGreen,2023-12-11,10,13,0.5025,Rainy,3,3.26,1,0,0.6192,56,0.7165,1
SHP00196,Guangzhou,Sydney,MaerskLine,2023-07-01,15,15,0.0963,Rainy,2,17.21,1,0,0.8329,145,1.0821,0
SHP00197,Guangzhou,Sydney,COSCO,2022-02-06,15,26,0.3103,Storm,2,5.85,3,0,0.5522,64,0.7632,1
SHP00198,Rotterdam,New York,MSC,2022-04-03,10,10,0.1098,Rainy,3,3.43,0,0,0.6765,124,0.9751,0
SHP00199,Guangzhou,Sydney,MaerskLine,2023-12-12,15,15,0.2302,Clear,2,18.04,0,0,0.8334,21,1.0248,0
SHP00200,Busan,Seattle,MaerskLine,2022-02-27,12,12,0.3083,Clear,1,6.94,0,0,0.7938,84,0.9055,0
SHP00201,Busan,Seattle,COSCO,2022-09-08,12,12,0.2309,Rainy,1,159.83,0,0,0.5424,178,1.1694,0
SHP00202,Guangzhou,Sydney,HapagLloyd,2022-03-22,15,15,0.2039,Cloudy,2,21.86,1,1,0.7675,117,0.8366,0
SHP00203,Guangzhou,Sydney,HapagLloyd,2023-08-21,15,15,0.2596,Cloudy,1,13.99,1,0,0.7784,19,0.9801,0
